[2023-02-20 13:47:09.923][INFO ] --- [main] org.example.Main[main:15] - ==========학교 검색 시작========== 
[2023-02-20 13:47:10.016][WARN ] --- [main] org.example.SchoolFinder[findValidSchool:73] - (WARNING)알수없는 라인

""

 
[2023-02-20 13:47:10.020][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:67] - 창현고등학교 발견 
[2023-02-20 13:47:10.023][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 하양여자중학교 발견 
[2023-02-20 13:47:10.025][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 문수고등학교 발견 
[2023-02-20 13:47:10.026][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 영천여자고등학교 발견 
[2023-02-20 13:47:10.026][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 대구여자상업고등학교 발견 
[2023-02-20 13:47:10.028][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:67] - 영문중학교 발견 
[2023-02-20 13:47:10.029][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 대부중학교 발견 
[2023-02-20 13:47:10.029][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 양영중학교 발견 
[2023-02-20 13:47:10.031][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:67] - 대전글꽃중학교 발견 
[2023-02-20 13:47:10.031][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 영천여자중학교 발견 
[2023-02-20 13:47:10.033][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 명지중학교 발견 
[2023-02-20 13:47:10.033][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 석우중학교 발견 
[2023-02-20 13:47:10.034][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 양덕여자중학교 발견 
[2023-02-20 13:47:10.034][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 동두천여자중학교 발견 
[2023-02-20 13:47:10.035][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 석우중학교 발견 
[2023-02-20 13:47:10.036][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 삼호중학교 발견 
[2023-02-20 13:47:10.037][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:67] - 행신중학교 발견 
[2023-02-20 13:47:10.038][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 진선여자중학교 발견 
[2023-02-20 13:47:10.039][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 삼호중학교 발견 
[2023-02-20 13:47:10.039][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 석우중학교 발견 
[2023-02-20 13:47:10.040][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 은행중학교 발견 
[2023-02-20 13:47:10.040][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 명문고등학교 발견 
[2023-02-20 13:47:10.040][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 경기국제통상고등학교 발견 
[2023-02-20 13:47:10.040][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 덕산중학교 발견 
[2023-02-20 13:47:10.041][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 경기국제통상고등학교 발견 
[2023-02-20 13:47:10.041][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:67] - 서울공연예술고등학교 발견 
[2023-02-20 13:47:10.042][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 하양여자중학교 발견 
[2023-02-20 13:47:10.043][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 성남여자중학교 발견 
[2023-02-20 13:47:10.043][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 은행중학교 발견 
[2023-02-20 13:47:10.044][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 민족사관고등학교 발견 
[2023-02-20 13:47:10.046][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 삼괴고등학교 발견 
[2023-02-20 13:47:10.049][WARN ] --- [main] org.example.SchoolFinder[findValidSchool:73] - (WARNING)알수없는 라인

"서울연희미용고저희학교애들이다전국구라수원안양천안아산잠실등등멀리서오는친구들이많아서짜장면먹고힘내고싶어요ㅠㅠ중간고사는끝났지만짜장면먹고기말고사준비열심히하고싶어요저희학교오면로찌고ㅠ졸업하는게기본인데그중에짜장면먹고찌고싶어요힣히히힣ㅎㅎ힘들게학교오면실습시간에서서힘들에파마마는저희에게짜장면주떼욤수수진강혜원맹채빈최수인박가연양수연이수진김도연손영랑이승민수빈김보은일이삼최하나홍도희최지현복경미연희최재희"

 
[2023-02-20 13:47:10.049][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 영천여자중학교 발견 
[2023-02-20 13:47:10.050][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 양덕여자중학교 발견 
[2023-02-20 13:47:10.050][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 창덕여자고등학교 발견 
[2023-02-20 13:47:10.051][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 부원여자중학교 발견 
[2023-02-20 13:47:10.052][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 하양여자중학교 발견 
[2023-02-20 13:47:10.053][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 세현고등학교 발견 
[2023-02-20 13:47:10.053][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 서강대학교 발견 
[2023-02-20 13:47:10.054][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 조원중학교 발견 
[2023-02-20 13:47:10.054][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 대전가양중학교 발견 
[2023-02-20 13:47:10.054][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 은행중학교 발견 
[2023-02-20 13:47:10.055][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 하양여자중학교 발견 
[2023-02-20 13:47:10.056][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 경남관광고등학교 발견 
[2023-02-20 13:47:10.056][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 경기국제통상고등학교 발견 
[2023-02-20 13:47:10.057][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 영천여자고등학교 발견 
[2023-02-20 13:47:10.060][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:67] - 인천체육고등학교 발견 
[2023-02-20 13:47:10.061][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 율현중학교 발견 
[2023-02-20 13:47:10.062][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 잠신중학교 발견 
[2023-02-20 13:47:10.063][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 영천여자고등학교 발견 
[2023-02-20 13:47:10.064][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 양청중학교 발견 
[2023-02-20 13:47:10.064][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 은행중학교 발견 
[2023-02-20 13:47:10.065][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 은행중학교 발견 
[2023-02-20 13:47:10.065][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 은행중학교 발견 
[2023-02-20 13:47:10.065][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 창원여자고등학교 발견 
[2023-02-20 13:47:10.067][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:67] - 세화여자중학교 발견 
[2023-02-20 13:47:10.067][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 중앙여자중학교 발견 
[2023-02-20 13:47:10.068][WARN ] --- [main] org.example.SchoolFinder[findValidSchool:73] - (WARNING)알수없는 라인

"서울시구로구가리봉동서울연희미용고나오는급식이라고는말라빠진육포같은탕수육소금들이부은무말랭이맛없다못해비린소세지이런수준의급식인데제발짜장면이라도먹게해주세요ㅠㅠㅠ맛없어서밥안먹고쫄쫄굶다가집에가는학생들이널리고줄을섰습니다"

 
[2023-02-20 13:47:10.069][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 하양여자중학교 발견 
[2023-02-20 13:47:10.069][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 성수고등학교 발견 
[2023-02-20 13:47:10.070][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 대전탄방중학교 발견 
[2023-02-20 13:47:10.070][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 석우중학교 발견 
[2023-02-20 13:47:10.070][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 송화초등학교 발견 
[2023-02-20 13:47:10.071][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 김해중앙여자중학교 발견 
[2023-02-20 13:47:10.072][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:67] - 잠신중학교 발견 
[2023-02-20 13:47:10.072][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 홍익디자인고등학교 발견 
[2023-02-20 13:47:10.072][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 신정중학교 발견 
[2023-02-20 13:47:10.073][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 청원중학교 발견 
[2023-02-20 13:47:10.073][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 은행중학교 발견 
[2023-02-20 13:47:10.073][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 은행중학교 발견 
[2023-02-20 13:47:10.074][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 천안용곡초등학교 발견 
[2023-02-20 13:47:10.074][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 서울공연예술고등학교 발견 
[2023-02-20 13:47:10.075][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 동학중학교 발견 
[2023-02-20 13:47:10.075][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 고촌중학교 발견 
[2023-02-20 13:47:10.076][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 난우중학교 발견 
[2023-02-20 13:47:10.077][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:67] - 경기국제통상고등학교 발견 
[2023-02-20 13:47:10.078][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 상산고등학교 발견 
[2023-02-20 13:47:10.078][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 율현중학교 발견 
[2023-02-20 13:47:10.078][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 경기국제통상고등학교 발견 
[2023-02-20 13:47:10.079][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 영천여자고등학교 발견 
[2023-02-20 13:47:10.079][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 은행중학교 발견 
[2023-02-20 13:47:10.079][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 은행중학교 발견 
[2023-02-20 13:47:10.079][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 화정중학교 발견 
